"id","year","conflict_new_id","type_of_violence","side_a","side_b","latitude","longitude","country","country_id","dyad_name","deaths_a","deaths_b","deaths_civilians"
171902,2011,333,1,"Government of Afghanistan","Taleban",32.416667,68.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
162938,2014,333,1,"Government of Afghanistan","Taleban",36.6515,68.9794,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
165726,2009,333,1,"Government of Afghanistan","Taleban",34.25,68.0,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
164712,2009,333,1,"Government of Afghanistan","Taleban",33.33333,67.75,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,0
165460,2009,333,1,"Government of Afghanistan","Taleban",31.0,64.0,"Afghanistan",700,"Government of Afghanistan - Taleban",2,0,0
165042,2009,333,1,"Government of Afghanistan","Taleban",34.5,69.416667,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
165109,2009,333,1,"Government of Afghanistan","Taleban",37.105713,68.851658,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
165143,2009,333,1,"Government of Afghanistan","Taleban",31.640454,65.397591,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
165152,2009,514,3,"Taleban","Civilians",33.543516,69.9118,"Afghanistan",700,"Taleban - Civilians",0,0,2
165163,2009,333,1,"Government of Afghanistan","Taleban",34.447084,63.961771,"Afghanistan",700,"Government of Afghanistan - Taleban",1,9,0
165358,2009,333,1,"Government of Afghanistan","Taleban",31.611795,65.705795,"Afghanistan",700,"Government of Afghanistan - Taleban",3,0,0
165526,2009,333,1,"Government of Afghanistan","Taleban",32.794302,65.941662,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
165567,2009,333,1,"Government of Afghanistan","Taleban",36.83333,65.83333,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
165754,2009,514,3,"Taleban","Civilians",34.998476,71.081975,"Afghanistan",700,"Taleban - Civilians",0,0,1
166057,2009,333,1,"Government of Afghanistan","Taleban",34.548073,68.936374,"Afghanistan",700,"Government of Afghanistan - Taleban",5,0,0
166167,2010,333,1,"Government of Afghanistan","Taleban",33.0,65.0,"Afghanistan",700,"Government of Afghanistan - Taleban",3,0,0
166248,2010,333,1,"Government of Afghanistan","Taleban",34.0,69.25,"Afghanistan",700,"Government of Afghanistan - Taleban",2,0,0
166269,2010,333,1,"Government of Afghanistan","Taleban",36.818665,68.685173,"Afghanistan",700,"Government of Afghanistan - Taleban",0,5,0
166474,2010,333,1,"Government of Afghanistan","Taleban",32.072639,64.830841,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
166548,2010,333,1,"Government of Afghanistan","Taleban",31.625941,63.861445,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
166775,2010,333,1,"Government of Afghanistan","Taleban",36.324882,68.6234,"Afghanistan",700,"Government of Afghanistan - Taleban",2,7,0
166792,2010,333,1,"Government of Afghanistan","Taleban",32.005213,65.500902,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
166807,2010,514,3,"Taleban","Civilians",32.25,67.25,"Afghanistan",700,"Taleban - Civilians",0,0,0
166987,2010,333,1,"Government of Afghanistan","Taleban",31.611795,65.705795,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,1
167190,2010,333,1,"Government of Afghanistan","Taleban",33.305843,68.446963,"Afghanistan",700,"Government of Afghanistan - Taleban",0,8,0
167474,2010,333,1,"Government of Afghanistan","Taleban",31.0,65.75,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
167550,2010,514,3,"Taleban","Civilians",34.817973,63.586809,"Afghanistan",700,"Taleban - Civilians",0,0,1
167622,2010,333,1,"Government of Afghanistan","Taleban",34.0,69.25,"Afghanistan",700,"Government of Afghanistan - Taleban",0,12,0
167991,2010,333,1,"Government of Afghanistan","Taleban",31.640454,65.397591,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
168023,2010,333,1,"Government of Afghanistan","Taleban",32.10368,66.905121,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,4
168243,2010,333,1,"Government of Afghanistan","Taleban",36.055429,64.978235,"Afghanistan",700,"Government of Afghanistan - Taleban",0,1,0
168271,2010,333,1,"Government of Afghanistan","Taleban",37.18502,69.00425,"Afghanistan",700,"Government of Afghanistan - Taleban",4,0,0
168308,2010,333,1,"Government of Afghanistan","Taleban",34.998476,71.081975,"Afghanistan",700,"Government of Afghanistan - Taleban",0,2,0
168329,2010,333,1,"Government of Afghanistan","Taleban",31.0,64.0,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
168375,2010,333,1,"Government of Afghanistan","Taleban",35.072275,71.373837,"Afghanistan",700,"Government of Afghanistan - Taleban",0,6,0
169242,2011,333,1,"Government of Afghanistan","Taleban",31.0,64.0,"Afghanistan",700,"Government of Afghanistan - Taleban",1,0,0
169536,2011,333,1,"Government of Afghanistan","Taleban",32.4381,64.4769,"Afghanistan",700,"Government of Afghanistan - Taleban",0,0,1
169875,2011,333,1,"Government of Afghanistan","Taleban",34.499112,69.886222,"Afghanistan",700,"Government of Afghanistan - Taleban",0,9,0
